name,slug,description,price,compare_at_price,affiliate_url,goal_slug,stock,is_active,images,video
Omega-3 Fish Oil,omega-3-fish-oil,High potency omega-3 supplement for skin and inflammation support,24.99,29.99,https://amazon.com/yourlink,skin-care,50,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/omega3.jpg,
Collagen Peptides,collagen-peptides,Supports skin elasticity and hair strength,29.99,34.99,https://amazon.com/yourlink,hair-care,40,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/collagen.jpg,
Hyaluronic Acid,hyaluronic-acid,Hydration support for skin and joints,19.99,24.99,https://amazon.com/yourlink,skin-care,35,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/hyaluronic.jpg,
Vitamin C Serum,vitamin-c-serum,Brightening antioxidant for skin health,18.99,23.99,https://amazon.com/yourlink,skin-care,45,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/vitc-serum.jpg,
Zinc Picolinate,zinc-picolinate,Supports skin, immunity and hair,14.99,18.99,https://amazon.com/yourlink,immunity,40,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/zinc.jpg,
Biotin Capsules,biotin-capsules,Hair, skin, and nail support,12.99,15.99,https://amazon.com/yourlink,hair-care,50,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/biotin.jpg,
Keratin Shampoo,keratin-shampoo,Strengthens hair and reduces breakage,16.99,19.99,https://amazon.com/yourlink,hair-care,30,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/keratin-shampoo.jpg,
Rosemary Hair Oil,rosemary-hair-oil,Scalp nourishment and hair growth support,13.99,17.99,https://amazon.com/yourlink,hair-care,25,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/rosemary-oil.jpg,
Vitamin D3 + K2,vitamin-d3-k2,Bone, immunity, and hormone support,17.99,22.99,https://amazon.com/yourlink,immunity,40,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/d3k2.jpg,
Magnesium Glycinate,magnesium-glycinate,Relaxation, stress and sleep support,19.99,24.99,https://amazon.com/yourlink,better-sleep,30,true,seed/weightloss-recipes.jpg;seed/weightloss-products.jpg;seed/weightloss-workouts.jpg;seed/weightloss-articles.jpg;seed-products/magnesium.jpg,
